p_theta	p_rho	p_pop_change_time	p_pop_change_newpop	s_segs	s_theta_pi	s_theta_w	s_tajimasD	s_ZnS	s_FayWuH	s_dvk	s_dvh	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	1.121212e+00	1.324557e+00	-5.399326e-01	6.198347e-02	5.306718e-02	5.000000e+00	7.222222e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	13	3.090909e+00	4.304811e+00	-1.194444e+00	2.235869e-01	-6.466118e-01	6.000000e+00	7.500000e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	6	2.742424e+00	1.986836e+00	1.450352e+00	4.540837e-01	3.769793e-01	5.000000e+00	7.500000e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	3	8.787879e-01	9.934178e-01	-3.785130e-01	3.838384e-02	-4.511709e-01	5.000000e+00	6.111111e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	1.303030e+00	1.324557e+00	-5.715914e-02	8.755165e-02	-5.837390e-01	6.000000e+00	6.944444e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	7	2.409091e+00	2.317975e+00	1.538256e-01	2.272559e-01	5.831307e-01	6.000000e+00	7.777778e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	10	2.772727e+00	3.311393e+00	-6.692341e-01	7.925069e-02	7.617512e-01	9.000000e+00	8.750000e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	6	1.924242e+00	1.986836e+00	-1.201477e-01	1.391709e-01	2.579332e-01	7.000000e+00	7.638889e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	6	1.757576e+00	1.986836e+00	-4.400643e-01	2.331166e-01	8.730048e-01	6.000000e+00	6.944444e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	12	3.015152e+00	3.973671e+00	-1.013333e+00	1.849188e-01	-2.199872e+00	8.000000e+00	8.333333e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	2	4.696970e-01	6.622786e-01	-8.497150e-01	1.818182e-02	5.427751e-01	3.000000e+00	4.027778e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	4	9.090909e-01	1.324557e+00	-1.103168e+00	1.928375e-02	6.368061e-01	5.000000e+00	6.666667e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	3	1.227273e+00	9.934178e-01	7.721988e-01	3.766234e-01	9.667947e-02	3.000000e+00	5.694444e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	5	1.318182e+00	1.655696e+00	-7.514536e-01	8.025712e-02	-1.428072e+00	6.000000e+00	7.500000e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	10	2.863636e+00	3.311393e+00	-5.562893e-01	1.191440e-01	-1.202765e-01	9.000000e+00	8.750000e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	7	1.909091e+00	2.317975e+00	-6.902941e-01	1.252488e-01	5.301189e-01	6.000000e+00	7.500000e-01	
7.000000e+00	2.000000e+01	1.000000e-02	3.000000e-01	10	2.818182e+00	3.311393e+00	-6.127617e-01	1.704151e-01	8.820277e-01	7.000000e+00	8.055556e-01	
